end_date,id,instructions,is_full,start_date
2019-04-24 02:00:00,541134,,False,2019-04-23 14:00:00
2019-04-25 02:00:00,541135,,False,2019-04-24 14:00:00
2019-04-26 02:00:00,541136,,False,2019-04-25 14:00:00
2019-04-27 02:00:00,541137,,False,2019-04-26 14:00:00
2019-04-28 02:00:00,541138,,False,2019-04-27 14:00:00
2019-05-01 02:00:00,541141,,False,2019-04-30 14:00:00
2019-05-04 02:00:00,541144,,False,2019-05-03 14:00:00
2019-05-07 03:00:00,545482,,False,2019-05-06 18:00:00
2019-05-08 03:00:00,545483,,False,2019-05-07 18:00:00
2019-05-17 03:00:00,548506,,False,2019-05-16 18:00:00
2019-05-19 03:00:00,548508,,False,2019-05-18 18:00:00
2019-05-18 03:00:00,548507,,False,2019-05-17 18:00:00
2019-05-20 03:00:00,548509,,False,2019-05-19 18:00:00
2019-05-12 01:00:00,547202,,False,2019-05-11 14:00:00
2019-05-14 01:00:00,547204,,False,2019-05-13 14:00:00
2019-05-15 01:00:00,547205,,False,2019-05-14 14:00:00
2019-05-16 01:00:00,547206,,False,2019-05-15 14:00:00
2019-05-17 01:00:00,547207,,False,2019-05-16 14:00:00
2019-05-18 01:00:00,547208,,False,2019-05-17 14:00:00
2019-05-22 01:00:00,547212,,False,2019-05-21 14:00:00
2019-10-03 00:30:00,696459,,False,2019-10-02 22:30:00
2019-09-02 22:00:00,635482,,False,2019-09-02 20:00:00
2019-10-09 01:00:00,637676,,False,2019-10-08 23:00:00
2020-02-14 01:00:00,1204120,,False,2020-02-13 23:00:00
2020-02-12 01:30:00,1204988,,False,2020-02-11 23:30:00
2020-02-19 01:30:00,1204989,,False,2020-02-18 23:30:00
2020-03-10 00:30:00,1204992,,False,2020-03-09 22:30:00
2020-02-26 01:30:00,1204990,,False,2020-02-25 23:30:00
2020-03-03 01:30:00,1204991,,False,2020-03-02 23:30:00
2020-03-18 00:30:00,1204993,,False,2020-03-17 22:30:00
2020-03-25 00:30:00,1204994,,False,2020-03-24 22:30:00
2020-04-01 00:30:00,1204995,,False,2020-03-31 22:30:00
2020-02-12 01:30:00,1204996,,False,2020-02-11 23:30:00
2020-02-08 04:30:00,1219825,,False,2020-02-07 05:00:00
2020-02-19 01:30:00,1253654,,False,2020-02-18 23:30:00
2020-02-26 01:00:00,1293086,,False,2020-02-25 23:30:00
2020-02-26 03:00:00,1303208,,False,2020-02-26 01:00:00
2020-03-03 01:30:00,1333916,,False,2020-03-02 23:30:00
2020-03-12 00:00:00,1347078,,False,2020-03-11 14:00:00
2020-03-10 00:30:00,1357474,,False,2020-03-09 22:30:00
2020-03-06 02:00:00,1361463,,False,2020-03-05 15:00:00
2020-03-17 01:00:00,1361470,,False,2020-03-16 14:00:00
2020-03-12 01:00:00,1361467,,False,2020-03-11 14:00:00
2020-03-10 01:00:00,1361465,,False,2020-03-09 14:00:00
2020-03-11 01:00:00,1361466,,False,2020-03-10 14:00:00
2020-03-15 01:00:00,1361469,,False,2020-03-14 14:00:00
2020-03-13 01:00:00,1361468,,False,2020-03-12 14:00:00
2020-03-21 01:00:00,1385923,,False,2020-03-20 13:00:00
2020-03-08 02:30:00,1364913,,False,2020-03-08 01:30:00
2020-03-17 16:00:00,1368334,,False,2020-03-17 14:00:00
2020-03-17 00:30:00,1377371,,False,2020-03-16 22:30:00
2020-03-18 00:30:00,1377383,,False,2020-03-17 22:30:00
2020-03-15 00:00:00,1384774,,False,2020-03-14 14:00:00
2020-03-16 00:00:00,1384775,,False,2020-03-15 14:00:00
2020-03-15 01:00:00,1384826,,False,2020-03-14 14:00:00
2020-03-16 01:00:00,1384827,,False,2020-03-15 14:00:00
2020-03-17 01:00:00,1384828,,False,2020-03-16 14:00:00
2020-03-27 00:30:00,1392101,,False,2020-03-26 23:00:00
2020-03-23 18:00:00,1392254,,False,2020-03-23 17:00:00
2020-03-30 18:00:00,1392255,,False,2020-03-30 17:00:00
2020-04-06 18:00:00,1392256,,False,2020-04-06 17:00:00
2020-04-13 18:00:00,1392257,,False,2020-04-13 17:00:00
2020-04-20 18:00:00,1392258,,False,2020-04-20 17:00:00
2020-04-27 18:00:00,1392259,,False,2020-04-27 17:00:00
2020-05-04 18:00:00,1392260,,False,2020-05-04 17:00:00
2020-05-11 18:00:00,1392261,,False,2020-05-11 17:00:00
2020-05-18 18:00:00,1392262,,False,2020-05-18 17:00:00
2020-05-25 18:00:00,1392263,,False,2020-05-25 17:00:00
2020-06-01 18:00:00,1392264,,False,2020-06-01 17:00:00
2020-06-08 18:30:00,1553813,,False,2020-06-08 17:30:00
2020-06-03 21:15:00,1556115,,False,2020-06-03 20:00:00
2020-06-15 18:30:00,1553814,,False,2020-06-15 17:30:00
2020-06-22 18:30:00,1553815,,False,2020-06-22 17:30:00
2020-06-29 18:30:00,1553816,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-06-29 17:30:00
2020-07-06 18:30:00,1553817,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-07-06 17:30:00
2020-07-13 18:30:00,1553818,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-07-13 17:30:00
2020-07-20 18:30:00,1553819,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-07-20 17:30:00
2020-07-27 18:30:00,1553820,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-07-27 17:30:00
2020-08-03 19:00:00,1553821,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-03 18:00:00
2020-08-10 18:30:00,1553822,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-10 17:30:00
2020-08-17 18:30:00,1553823,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-17 17:30:00
2020-08-24 18:30:00,1553824,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-24 17:30:00
2020-08-31 21:00:00,1553825,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-31 20:00:00
2020-08-01 18:00:00,1791119,,False,2020-08-01 17:00:00
2020-03-26 01:00:00,1403451,,False,2020-03-26 00:00:00
2020-03-29 22:30:00,1407892,,False,2020-03-29 19:30:00
2020-03-30 00:00:00,1413261,,False,2020-03-29 14:00:00
2020-03-31 00:00:00,1413262,,False,2020-03-30 14:00:00
2020-04-01 00:00:00,1413263,,False,2020-03-31 14:00:00
2020-04-05 00:00:00,1413267,,False,2020-04-04 14:00:00
2020-04-02 00:00:00,1413264,,False,2020-04-01 14:00:00
2020-04-04 00:00:00,1413266,,False,2020-04-03 14:00:00
2020-04-03 00:00:00,1413265,,False,2020-04-02 14:00:00
2020-04-07 00:00:00,1413269,,False,2020-04-06 14:00:00
2020-04-06 00:00:00,1413268,,False,2020-04-05 14:00:00
2020-04-15 00:00:00,1413277,,False,2020-04-14 14:00:00
2020-04-09 00:00:00,1413271,,False,2020-04-08 14:00:00
2020-04-22 00:00:00,1413284,,False,2020-04-21 14:00:00
2020-04-10 00:00:00,1413272,,False,2020-04-09 14:00:00
2020-04-08 00:00:00,1413270,,False,2020-04-07 14:00:00
2020-04-14 00:00:00,1413276,,False,2020-04-13 14:00:00
2020-04-11 00:00:00,1413273,,False,2020-04-10 14:00:00
2020-04-12 00:00:00,1413274,,False,2020-04-11 14:00:00
2020-04-16 00:00:00,1413278,,False,2020-04-15 14:00:00
2020-04-17 00:00:00,1413279,,False,2020-04-16 14:00:00
2020-04-18 00:00:00,1413280,,False,2020-04-17 14:00:00
2020-04-19 00:00:00,1413281,,False,2020-04-18 14:00:00
2020-04-21 00:00:00,1413283,,False,2020-04-20 14:00:00
2020-04-23 00:00:00,1413285,,False,2020-04-22 14:00:00
2020-04-25 00:00:00,1413287,,False,2020-04-24 14:00:00
2020-04-27 00:00:00,1413289,,False,2020-04-26 14:00:00
2020-04-28 00:00:00,1413290,,False,2020-04-27 14:00:00
2020-04-30 00:00:00,1413292,,False,2020-04-29 14:00:00
2020-05-01 00:00:00,1413293,,False,2020-04-30 14:00:00
2020-04-03 00:00:00,1418528,,False,2020-04-02 23:00:00
2020-05-08 00:00:00,1421679,,False,2020-05-07 23:00:00
2020-04-22 01:00:00,1444423,,False,2020-04-21 23:00:00
2020-04-19 01:00:00,1452951,,False,2020-04-18 21:30:00
2020-04-22 01:00:00,1452946,,False,2020-04-21 17:00:00
2020-05-01 00:30:00,1455001,,False,2020-04-30 22:30:00
2020-04-23 17:45:00,1459961,,False,2020-04-23 17:00:00
2020-05-14 18:00:00,1461781,,False,2020-05-14 17:00:00
2020-05-28 18:00:00,1461783,,False,2020-05-28 17:00:00
2020-07-30 18:00:00,1461792,,False,2020-07-30 17:00:00
2020-05-07 18:00:00,1461780,,False,2020-05-07 17:00:00
2020-05-21 18:00:00,1461782,,False,2020-05-21 17:00:00
2020-06-04 18:00:00,1461784,,False,2020-06-04 17:00:00
2020-06-11 18:00:00,1461785,,False,2020-06-11 17:00:00
2020-06-18 18:00:00,1461786,,False,2020-06-18 17:00:00
2020-06-25 18:00:00,1461787,,False,2020-06-25 17:00:00
2020-07-02 18:00:00,1461788,,False,2020-07-02 17:00:00
2020-07-09 18:00:00,1461789,,False,2020-07-09 17:00:00
2020-07-16 18:00:00,1461790,,False,2020-07-16 17:00:00
2020-07-23 18:00:00,1461791,,False,2020-07-23 17:00:00
2020-04-23 18:45:00,1460159,,False,2020-04-23 18:00:00
2020-05-29 01:00:00,1496536,,False,2020-05-28 23:00:00
